avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.752;1.356;-0.399;-2.69;1.552;0.471;-3.304;-3.359;-3.82;-4.337;1.516;6.346
3.667;1.333;-0.337;-2.634;1.48;0.49;-3.235;-3.34;-3.794;-4.327;1.526;6.346
3.686;1.235;-0.454;-2.595;1.549;0.382;-3.163;-3.291;-3.755;-4.304;1.52;6.343
3.67;1.17;-0.503;-2.556;1.565;0.324;-3.124;-3.252;-3.716;-4.275;1.549;6.369
3.614;1.052;-0.565;-2.467;1.569;0.235;-3.092;-3.239;-3.69;-4.252;1.569;6.379
3.644;0.974;-0.673;-2.444;1.637;0.141;-3.052;-3.212;-3.66;-4.235;1.562;6.369
3.598;0.935;-0.667;-2.402;1.611;0.124;-3.049;-3.225;-3.673;-4.265;1.542;6.35
3.644;0.938;-0.709;-2.425;1.654;0.105;-3.049;-3.229;-3.676;-4.275;1.536;6.333
3.667;0.967;-0.703;-2.451;1.663;0.124;-3.039;-3.225;-3.68;-4.281;1.513;6.304
3.634;1.003;-0.634;-2.454;1.611;0.176;-3.029;-3.235;-3.683;-4.291;1.52;6.314
3.608;0.997;-0.614;-2.438;1.588;0.183;-3.046;-3.248;-3.693;-4.304;1.51;6.307
3.621;1.02;-0.605;-2.454;1.592;0.199;-3.059;-3.271;-3.729;-4.32;1.5;6.291
3.65;1.042;-0.611;-2.48;1.608;0.206;-3.046;-3.258;-3.748;-4.301;1.503;6.301
3.631;1.033;-0.601;-2.467;1.595;0.206;-3.036;-3.265;-3.748;-4.32;1.493;6.304
3.605;0.974;-0.634;-2.425;1.598;0.16;-3.023;-3.275;-3.732;-4.35;1.477;6.281
3.641;1.003;-0.641;-2.458;1.618;0.173;-3.01;-3.275;-3.719;-4.356;1.5;6.314
3.673;1.016;-0.66;-2.48;1.644;0.17;-3;-3.271;-3.729;-4.376;1.487;6.307
3.647;0.99;-0.66;-2.454;1.631;0.157;-2.99;-3.278;-3.735;-4.399;1.497;6.317
3.654;1.007;-0.65;-2.464;1.631;0.17;-2.974;-3.271;-3.739;-4.415;1.493;6.32
3.693;0.987;-0.709;-2.474;1.68;0.131;-2.974;-3.271;-3.758;-4.431;1.49;6.297
3.676;1.007;-0.673;-2.477;1.654;0.157;-2.987;-3.275;-3.781;-4.441;1.52;6.327
